,age,sex,experience,experience_role,experience_years,hard_skills,soft_skills,certifications,degree,training,job_field,job_position
360,37.0,female,"coordinated administrative tasks, managed documents, and supported project functions.",administrative coordinator,13,"advertising campaign management, brand visibility, creative design","communication, creativity",True,advertising,False,hr & admin,project coordinator
361,40.0,male,"planned and executed events, coordinated logistics, and ensured successful outcomes.",events coordinator,14,"marketing strategy execution, campaign analysis, market research","communication, analytical thinking",True,marketing,True,hr & admin,project coordinator
362,39.0,female,"analyzed project data, provided insights, and supported decision-making.",project analyst,11,"project coordination, scheduling, outcome assessment","organizational skills, attention to detail",True,project management,True,hr & admin,project coordinator
363,42.0,male,"coordinated marketing activities, managed campaigns, and supported promotional efforts.",marketing coordinator,12,"administrative support, office operations, data management","communication, attention to detail",False,business administration,True,hr & admin,project coordinator
364,,,"planned project activities, managed schedules, and ensured timely completion.",project planner,10,"office optimization, workflow efficiency, project management","organizational skills, attention to detail",True,business administration,False,hr & admin,project coordinator
365,44.0,,"coordinated program activities, managed teams, and ensured program success.",program coordinator,13,"operations coordination, workflow efficiency, logistics","adaptability, problem solving",True,operations management,True,hr & admin,project coordinator
366,,,"supported daily operations, managed tasks, and facilitated communication within the team.",operations coordinator,14,"advertising campaign management, brand visibility, creative design","communication, creativity",True,advertising,True,hr & admin,project coordinator
367,46.0,,"provided executive support, managed calendars, and coordinated office tasks.",executive assistant,15,"marketing strategy execution, campaign analysis, market research","communication, analytical thinking",True,marketing,True,hr & admin,project coordinator
368,,female,"coordinated training programs, managed schedules, and ensured effective delivery.",training coordinator,12,"project coordination, scheduling, outcome assessment","organizational skills, attention to detail",False,project management,True,hr & admin,project coordinator
369,48.0,male,"assisted in project tasks, provided support, and ensured project documentation.",project assistant,13,"administrative support, office operations, data management","communication, attention to detail",True,business administration,True,hr & admin,project coordinator
370,47.0,female,"specialized in project tasks, managed project aspects, and provided expertise.",project specialist,11,"office optimization, workflow efficiency, project management","organizational skills, attention to detail",False,business administration,True,hr & admin,project coordinator
371,50.0,male,"created project schedules, ensured timelines, and coordinated project activities.",project scheduler,14,"operations coordination, workflow efficiency, logistics","adaptability, problem solving",True,operations management,True,hr & admin,project coordinator
372,49.0,female,"conducted research for projects, analyzed data, and provided insights.",project researcher,15,"advertising campaign management, brand visibility, creative design","communication, creativity",True,advertising,False,hr & admin,project coordinator
373,,male,"managed services, supervised staff, and ensured customer satisfaction.",service manager,16,"marketing strategy execution, campaign analysis, market research","communication, analytical thinking",True,marketing,True,hr & admin,project coordinator
374,51.0,,"led and executed projects, managed teams, and ensured successful project outcomes.",project manager,13,"project coordination, scheduling, outcome assessment","organizational skills, attention to detail",True,project management,True,hr & admin,project coordinator
375,,,"coordinated and executed events, managed logistics, and ensured successful outcomes.",event coordinator,14,"administrative support, office operations, data management","communication, attention to detail",True,business administration,False,hr & admin,project coordinator
376,53.0,,optimized office operations and improved workflow efficiency,office coordinator,12,"office optimization, workflow efficiency, project management","organizational skills, attention to detail",True,business administration,True,hr & admin,project coordinator
377,56.0,male,coordinated operations and ensured efficient workflow,operations coordinator,15,"operations coordination, workflow efficiency, logistics","adaptability, problem solving",False,operations management,True,hr & admin,project coordinator
378,55.0,female,managed advertising campaigns and ensured brand visibility,advertising coordinator,16,"advertising campaign management, brand visibility, creative design","communication, creativity",True,advertising,True,hr & admin,project coordinator
379,58.0,,"planned and executed successful events, managing logistics, catering, and attendee communication.",events coordinator,17,"marketing strategy execution, campaign analysis, market research","communication, analytical thinking",True,marketing,False,hr & admin,project coordinator
